matter_id,cnr,filing_no,filing_date,disposal_date,court_name,case_status,case_typology,case_category,matter_type,main_matter_id,updated_on,registration_number
8162,HCBM020295692021,COMSSL/29485/2021,2021-12-15,2024-03-08,Bombay High Court,Disposed,Original_COMMERCIAL SUMMARY SUITS,Commercial Suits,Main,8162.0,2024-09-17,
205582,HCBM020359932022,IAL/35987/2022,2022-11-18,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8162.0,2025-03-28,
207525,HCBM020319692022,SJL/31963/2022,2022-10-04,2023-03-08,Bombay High Court,Disposed,Original_SUMMONSES FOR JUDGEMENT,Commercial Suits,Subcase,8162.0,2025-03-28,
214829,HCBM020124992022,IAL/12496/2022,2022-04-16,2022-04-28,Bombay High Court,Disposed,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8162.0,2025-04-02,
8163,HCBM020228322021,COMSL/22750/2021,2021-10-05,,Bombay High Court,Pre-Admission,Original_Commercial Suit,Commercial Suits,Main,8163.0,2024-09-17,
207847,HCBM020291782022,IAL/29172/2022,2022-09-12,2023-06-06,Bombay High Court,Disposed,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8163.0,2025-03-28,
212318,HCBM020288712023,IAL/28862/2023,2023-10-16,2023-12-05,Bombay High Court,Disposed,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8163.0,2025-03-28,
8173,HCBM020200502021,SL/19969/2021,2021-09-03,2021-09-27,Bombay High Court,Disposed,Original_SUITS,Suits,Main,8173.0,2025-03-28,
8175,HCBM020229152021,SL/22833/2021,2021-10-05,2022-03-03,Bombay High Court,Disposed,Original_SUITS,Suits,Main,8175.0,2025-03-28,
8177,HCBM020315212021,COMSSL/31436/2021,2021-12-30,2024-01-16,Bombay High Court,Disposed,Original_COMMERCIAL SUMMARY SUITS,Commercial Suits,Main,8177.0,2024-09-17,
8178,HCBM020292322021,SL/29148/2021,2021-12-13,2022-08-30,Bombay High Court,Disposed,Original_SUITS,Suits,Main,8178.0,2025-03-28,
197068,HCBM020292352021,LPETNL/29151/2021,2021-12-13,,Bombay High Court,Pre-Admission,Original_LEAVE PETITION,Suits,Subcase,8178.0,2025-03-28,
197888,HCBM020292392021,IAL/29155/2021,2021-12-13,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Suits,Subcase,8178.0,2025-03-28,
200486,HCBM020292382021,LPETNL/29154/2021,2021-12-13,,Bombay High Court,Pre-Admission,Original_LEAVE PETITION,Suits,Subcase,8178.0,2025-03-28,
205496,HCBM020055112022,IAL/5510/2022,2022-02-23,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Suits,Subcase,8178.0,2025-03-28,
8182,HCBM020285372021,SL/28453/2021,2021-12-06,2023-08-01,Bombay High Court,Disposed,Original_SUITS,Suits,Main,8182.0,2025-03-28,
8184,HCBM020294652021,SL/29381/2021,2021-12-15,,Bombay High Court,Pre-Admission,Original_SUITS,Suits,Main,8184.0,2025-03-28,
197304,HCBM020294712021,IAL/29387/2021,2021-12-15,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Suits,Subcase,8184.0,2025-03-28,
199060,HCBM020294682021,LPETNL/29384/2021,2021-12-15,2021-12-20,Bombay High Court,Disposed,Original_LEAVE PETITION,Suits,Subcase,8184.0,2025-03-28,
211777,HCBM020169512023,IAL/16944/2023,2023-06-22,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Suits,Subcase,8184.0,2025-03-28,
215945,HCBM020169222023,IAL/16915/2023,2023-06-22,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Suits,Subcase,8184.0,2025-03-28,
217032,HCBM020015482023,IAL/1547/2023,2023-01-17,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Suits,Subcase,8184.0,2025-04-02,
8189,HCBM020276172021,SL/27534/2021,2021-11-26,,Bombay High Court,Pre-Admission,Original_SUITS,Suits,Main,8189.0,2025-03-28,
8192,HCBM020259262021,SL/25843/2021,2021-10-30,,Bombay High Court,Pre-Admission,Original_SUITS,Suits,Main,8192.0,2024-09-17,
8196,HCBM020209102021,SL/20829/2021,2021-09-15,2024-01-29,Bombay High Court,Disposed,Original_SUITS,Suits,Main,8196.0,2024-09-17,
201932,HCBM020209162021,IAL/20835/2021,2021-09-15,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Suits,Subcase,8196.0,2025-03-28,
202351,HCBM020391162022,CHOLL/39110/2022,2022-12-14,2023-05-02,Bombay High Court,Disposed,Original_CHAMBER ORDER LODGING,Suits,Subcase,8196.0,2025-03-31,
8199,HCBM020289962021,COMSL/28912/2021,2021-12-10,,Bombay High Court,Pre-Admission,Original_Commercial Suit,Commercial Suits,Main,8199.0,2024-09-17,
126723,HCBM020359762024,IAL/35967/2024,2024-11-28,2025-02-07,Bombay High Court,Disposed,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8199.0,2025-03-28,
209066,HCBM020297732023,IAL/29763/2023,2023-10-21,2024-07-01,Bombay High Court,Disposed,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8199.0,2025-03-28,
8202,HCBM020309782021,COMSL/30894/2021,2021-12-24,2024-03-11,Bombay High Court,Disposed,Original_Commercial Suit,Commercial Suits,Main,8202.0,2024-09-17,
8203,HCBM020206232021,COMSL/20542/2021,2021-09-09,,Bombay High Court,Pre-Admission,Original_Commercial Suit,Commercial Suits,Main,8203.0,2025-01-23,
112929,HCBM020082412024,IAL/8239/2024,2024-03-07,2024-10-03,Bombay High Court,Disposed,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8203.0,2025-03-28,
201807,HCBM020206312021,IAL/20550/2021,2021-09-09,2024-10-03,Bombay High Court,Disposed,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8203.0,2025-03-28,
217608,HCBM020091792023,IAL/9175/2023,2023-03-31,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8203.0,2025-04-03,
219198,HCBM020253222023,IAL/25313/2023,2023-09-11,2024-10-03,Bombay High Court,Disposed,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8203.0,2025-03-29,
8209,HCBM020250302021,COMSSL/24947/2021,2021-10-26,,Bombay High Court,Pre-Admission,Original_COMMERCIAL SUMMARY SUITS,Commercial Suits,Main,8209.0,2025-03-28,
197620,HCBM020250372021,IAL/24954/2021,2021-10-26,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8209.0,2025-03-28,
205551,HCBM020080652022,LPETNL/8064/2022,2022-03-15,2022-03-29,Bombay High Court,Disposed,Original_LEAVE PETITION,Commercial Suits,Subcase,8209.0,2025-03-28,
212463,HCBM020340122023,IAL/34000/2023,2023-12-06,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8209.0,2025-03-28,
217978,HCBM020031102022,SJL/3109/2022,2022-02-02,,Bombay High Court,Pre-Admission,Original_SUMMONSES FOR JUDGEMENT,Commercial Suits,Subcase,8209.0,2025-03-28,
8210,HCBM020277492021,SL/27665/2021,2021-11-27,2024-01-30,Bombay High Court,Disposed,Original_SUITS,Suits,Main,8210.0,2025-03-28,
197366,HCBM020277522021,IAL/27668/2021,2021-11-27,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Suits,Subcase,8210.0,2025-03-28,
8214,HCBM020202892021,SL/20208/2021,2021-09-07,2024-08-05,Bombay High Court,Disposed,Original_SUITS,Suits,Main,8214.0,2025-03-28,
8217,HCBM020221142021,COMSL/22032/2021,2021-09-28,,Bombay High Court,Pre-Admission,Original_Commercial Suit,Commercial Suits,Main,8217.0,2024-09-17,
217145,HCBM020232192022,IAL/23213/2022,2022-07-20,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8217.0,2025-04-03,
218186,HCBM020229532022,IAL/22947/2022,2022-07-18,,Bombay High Court,Pre-Admission,Original_INTERIM APPLICATION,Commercial Suits,Subcase,8217.0,2025-04-03,
8222,HCBM020282502021,COMSL/28166/2021,2021-12-03,,Bombay High Court,Pre-Admission,Original_Commercial Suit,Commercial Suits,Main,8222.0,2025-03-28,
